name,id,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
1810046K07Rik,ENSMUST00000039959,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5031425F14Rik,ENSMUST00000127920,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Acta2,ENSMUST00000039631,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Adam2,ENSMUST00000022618,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Adamts2,ENSMUST00000040523,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
Adamts4,ENSMUST00000111314,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Alk,ENSMUST00000086639,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Ankfn1,ENSMUST00000169201,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Ano4,ENSMUST00000182341,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Aqp4,ENSMUST00000079081,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Asic4,ENSMUST00000037708,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Barx2,ENSMUST00000116615,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Bgn,ENSMUST00000033741,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Blnk,ENSMUST00000117695,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Bmpr1b,ENSMUST00000029948,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Calb2,ENSMUST00000003754,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Camk2d,ENSMUST00000106402,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Cbln4,ENSMUST00000087950,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Ccbe1,ENSMUST00000130300,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ccdc162,ENSMUST00000099932,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Ccdc3,ENSMUST00000027988,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ccnb1,ENSMUST00000091295,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Cdca7,ENSMUST00000102691,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Cdcp1,ENSMUST00000039229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
Cdh12,ENSMUST00000227496,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Cdh13,ENSMUST00000117160,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Cdh20,ENSMUST00000062528,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ceacam9,ENSMUST00000001984,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Chodl,ENSMUST00000023568,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
