version, 1.0
codebook_name, TEST
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548, RS0578, RS0584, RS0639, RS0707, RS0708, RS0730
name, id, barcode
Blank-1, , 0000100110000001000000
Blank-2, , 0000100010000000001010
Blank-3, , 1001001000000000010000
Blank-4, , 0010100000001001000000
Blank-5, , 0010000001010010000000
Blank-6, , 0100010001000010000000
Blank-7, , 0101000110000000000000
Blank-8, , 1010000000000000010010
Blank-9, , 0000010000110000001000
Blank-10, , 0010000001000100000010
CD52, ENST00000374213, 0000011000100000000100
PTPRU, ENST00000345512, 0000001000010001000010
MARCKSL1, ENST00000329421, 0100000000101000010000
RSPO1, ENST00000401068, 0001011000000001000000
POU3F1, ENST00000373012, 0100000000100001000010
RAB3B, ENST00000371655, 1100000000001000000010
ROR1, ENST00000371079, 0000001001100000000010
PTGER3, ENST00000460330, 1000100000000000011000
SLC44A5, ENST00000370859, 0000100000000101000001
ST6GALNAC5, ENST00000477717, 1000001010000001000000
COL24A1, ENST00000370571, 0000010000000000110001
FNDC7, ENST00000370017, 0100000100000010001000
SYT6, ENST00000641643, 0000011010000000100000
CTSS, ENST00000368985, 0100000010100000100000
ADAMTS4, ENST00000367996, 1000010000000101000000
RGS5, ENST00000530507, 0110000010000000000001
PROX1, ENST00000435016, 0010001000000011000000
PLD5, ENST00000442594, 0101001000000000000100
OSR1, ENST00000272223, 0000000100001100000010
OTOF, ENST00000403946, 1000001000001000000001
SLC30A3, ENST00000233535, 0010100001000000000100
ALK, ENST00000389048, 1000000001000010100000
POU3F3, ENST00000674056, 0000001011001000000000
LYPD1, ENST00000397463, 0001100000000100010000
TMEM163, ENST00000281924, 0000010000101000100000
NXPH2, ENST00000272641, 0000011001000000000001
TNFAIP6, ENST00000243347, 0000000000000001011001
NR4A2, ENST00000409572, 0000000010011010000000
GAD1, ENST00000358196, 1000100000010000000010
CDCA7, ENST00000695914, 0000000010000010110000
PDE11A, ENST00000286063, 0000110100000100000000
SATB2, ENST00000457245, 0010000000100100000100
IKZF2, ENST00000342002, 0000000110000100000100
IGFBP5, ENST00000233813, 0001110000000000000001
ASIC4, ENST00000358078, 1000110000000000000100
RAMP1, ENST00000254661, 0000110000000000100010
LYZL4, ENST00000441172, 0001000000010000001010
CDCP1, ENST00000296129, 0000000011000010000010
LTF, ENST00000417439, 1010001001000000000000
FEZF2, ENST00000475839, 1010000000001100000000
PROK2, ENST00000353065, 0000100000001010100000
CCDC80, ENST00000439685, 0001000001000010000100
CLRN1, ENST00000327047, 1001010000000000000010
PLCH1, ENST00000494598, 0000110000000011000000
SST, ENST00000287641, 0000010010000000011000
MUC20, ENST00000447234, 1100000000000100001000
C1QTNF7, ENST00000444304, 0100000001000000001001
CORIN, ENST00000502252, 0100010100001000000000
PDGFRA, ENST00000257290, 0000001000111000000000
PARM1, ENST00000307428, 0001000101000000010000
PRDM8, ENST00000415738, 0010000100110000000000
HPSE, ENST00000311412, 0010110000100000000000
PDLIM5, ENST00000542407, 1000100000101000000000
BMPR1B, ENST00000264568, 0000000000000100100101
NPNT, ENST00000506666, 0000000000010000000111
COL25A1, ENST00000642955, 0001000000000000010110
CAMK2D, ENST00000505990, 0010100000010000010000
NDST4, ENST00000264363, 0010000000000000010101
PRSS12, ENST00000296498, 0000001000001100001000
NPY2R, ENST00000506608, 0000000010000100010010
PDGFC, ENST00000502773, 0010001000010000000100
RXFP1, ENST00000307765, 0000000100101010000000
TENM3, ENST00000511685, 1000000000011001000000
ENPP6, ENST00000296741, 0110000000010001000000
PLCXD3, ENST00000328457, 0000101010000010000000
FST, ENST00000256759, 0001000000000100001001
CCNB1, ENST00000256442, 1000000010000100100000
IQGAP2, ENST00000274364, 0000000010000000101100
PRR16, ENST00000407149, 1000001000100000100000
CD14, ENST00000302014, 0000010000000001000110
GLRA1, ENST00000455880, 0100100001001000000000
ADRA1B, ENST00000306675, 0000100001000000000011
COL23A1, ENST00000390654, 1000000000000110000010
ADAMTS2, ENST00000518335, 0010000000000001000011
PXDC1, ENST00000380283, 0000000011000001000100
SCGN, ENST00000377961, 0000010100010000010000
DAAM2, ENST00000274867, 0001000000011100000000
EPHA7, ENST00000680224, 0000000000100110000001
HS3ST5, ENST00000312719, 0110001000100000000000
MOXD1, ENST00000367963, 0100110000010000000000
PHACTR2, ENST00000367582, 0000001000000000001011
GRM1, ENST00000361719, 1000010100000000001000
UST, ENST00000367463, 0100100000000100000010
VIP, ENST00000367244, 0000100000010010000100
THBS2, ENST00000676760, 0000000000001010000011
ELFN1, ENST00000691883, 0011000000000000110000
ITGB8, ENST00000222573, 1000000010100000000010
SP8, ENST00000418710, 0010010001001000000000
CHN2, ENST00000222792, 0001000001001000100000
WIPF3, ENST00000409123, 1000000000000010010001
CRHR2, ENST00000471646, 1100000000010010000000
NPSR1, ENST00000360581, 1001000000000000100100
POU6F2, ENST00000403058, 0001010010000000000100
VWC2, ENST00000340652, 1000000100000000010100
EGFR, ENST00000275493, 0000010110000000000010
SEMA3E, ENST00000643230, 0011000000000010000010
SLC25A13, ENST00000265631, 0000000001000100010001
GRM8, ENST00000339582, 0001001000001010000000
CHRM2, ENST00000320658, 0000010001100001000000
VIPR2, ENST00000402066, 0001010100100000000000
CHRNA2, ENST00000520933, 0010000010010000000010
ADAM2, ENST00000265708, 0100001000000000010001
OPRK1, ENST00000520287, 0000000000110001000001
PENK, ENST00000314922, 0010000100000001010000
TOX, ENST00000361421, 0000001000100000011000
SULF1, ENST00000419716, 0101000000000010100000
SLCO5A1, ENST00000260126, 0100000101100000000000
CALB1, ENST00000265431, 0000001000000001110000
COL14A1, ENST00000309791, 0000000110000000010001
FAM84B, not_annotated, 0100001010000100000000
RFX3, ENST00000617270, 0100000001000101000000
RORB, ENST00000376896, 0100000100000001100000
COL15A1, ENST00000375001, 0010101000000000000010
GRIN3A, ENST00000361820, 0011000010000001000000
LHX6, ENST00000394319, 0000000000011000001001
NTNG2, ENST00000393229, 0000100000100000010001
CCDC3, ENST00000378825, 0011000001100000000000
OLAH, ENST00000378228, 0000000001000000111000
C1QL3, ENST00000298943, 1000010000001000010000
MRC1, ENST00000569591, 0000000000000110001100
GAD2, ENST00000259271, 1000000000010100010000
EGR2, ENST00000691610, 0000000010000101001000
UNC5B, ENST00000373192, 0000100100001000000001
SNCG, ENST00000372017, 0001000100000100100000
ACTA2, ENST00000224784, 1000000000000000101010
BLNK, ENST00000696514, 0000000001001100000100
OPALIN, ENST00000371172, 0011001000000000000001
LSP1, ENST00000311604, 0101000001000000000010
TH, ENST00000352909, 0000000101010000000010
LMO1, ENST00000428101, 0010000110000000001000
SPON1, ENST00000576479, 0100000000000011010000
MRGPRX2, ENST00000329773, 0000001000010110000000
SLC17A6, ENST00000263160, 1010000100000010000000
BDNF, ENST00000395983, 0000000000110000010010
PRSS23, ENST00000280258, 0000000000010010011000
TRPC6, ENST00000344327, 1001000010001000000000
NNMT, ENST00000535401, 1000000000100000000101
DSCAML1, ENST00000651172, 1010000000010000001000
UBASH3B, ENST00000284273, 0000100011100000000000
BARX2, ENST00000281437, 0100000100010000000100
B4GALNT3, ENST00000266383, 0100011000000000001000
RERG, ENST00000538313, 1000000010000010001000
KCNJ8, ENST00000667884, 1001000001000100000000
SYT10, ENST00000228567, 0000010010001001000000
NR4A1, ENST00000394825, 0000000000000011000101
IGFBP6, ENST00000301464, 0011000000000000001100
NXPH4, ENST00000349394, 0001100000000001100000
SLC17A8, ENST00000323346, 0100100010000000000100
ANO4, ENST00000392979, 1000010000010000100000
CUX2, ENST00000261726, 0100001000000010000010
NOS1, ENST00000317775, 1000000001010000000100
RXFP2, ENST00000298386, 1010000000100001000000
SERTM1, ENST00000315190, 0001000000001001001000
TRPC4, ENST00000625583, 0000011000000000010010
FREM2, ENST00000280481, 1000000011000000000001
PCDH8, ENST00000338862, 1000000100000001000010
EGLN3, ENST00000250457, 1010000000000000100001
PLEKHG3, ENST00000471182, 0000000010110000000100
RGS6, ENST00000556437, 0000100100000010010000
TUNAR, ENST00000554321, 0000010000100100000010
BCL11B, ENST00000443726, 0010000000001000101000
MEIS2, ENST00000559561, 0101010000000100000000
UNC13C, ENST00000260323, 0000010011010000000000
CPLX3, ENST00000395018, 0010011100000000000000
CSPG4, ENST00000308508, 0001010000000010010000
CEMIP, ENST00000220244, 0000101000100001000000
NR2F2, ENST00000394166, 0000000000001101100000
SHISA9, ENST00000558583, 0000001000001001000100
CALB2, ENST00000302628, 0000000001011000010000
CRISPLD2, ENST00000567845, 0101000000100000001000
SERPINF1, ENST00000254722, 0000001100000010100000
VTN, ENST00000226218, 0010100000000010001000
TCAP, ENST00000309889, 0000101000000000000101
IGFBP4, ENST00000269593, 0100000100000100010000
GFAP, ENST00000588735, 0000000010100000001001
RPRML, ENST00000322329, 0001001000100100000000
B4GALNT2, ENST00000393354, 0000000000001000011100
ANKFN1, ENST00000566473, 0000100101000000001000
CACNG5, ENST00000307139, 0000000010000001100001
L3MBTL4, ENST00000400105, 0000000001001000001010
LAMA3, ENST00000313654, 0001001010000000000010
AQP4, ENST00000383168, 0000000000100001101000
CCBE1, ENST00000439986, 0001000011000000001000
RNF152, ENST00000312828, 0100001000001000100000
CBLN2, ENST00000585159, 0000100010001100000000
DMKN, ENST00000480502, 0000001101000001000000
FOSB, ENST00000353609, 0000000000000011100010
NPAS1, ENST00000449844, 0100000000000000100011
SLC17A7, ENST00000221485, 0000000000010010100001
MYH14, ENST00000598205, 0000000000001000110010
PROKR2, ENST00000217270, 1010010010000000000000
LAMP5, ENST00000246070, 0000010000000100010100
FLRT3, ENST00000378053, 0000000000010100100010
SLC32A1, ENST00000217420, 0100000001000000010100
SULF2, ENST00000688720, 1000010000100010000000
KCNG1, ENST00000371571, 0100010000000001000001
CBLN4, ENST00000064571, 0000000010100011000000
CHODL, ENST00000299295, 0100000000001110000000
CLDN5, ENST00000618236, 0110000000000000011000
TIMP3, ENST00000266085, 0001100000001000000010
PVALB, ENST00000417718, 0010001000000100100000
SOX10, ENST00000360880, 0100000000010100000001
WNT7B, ENST00000409496, 0000010000000010001001
NHS, ENST00000380060, 0100010000000000100100
IL1RAPL2, ENST00000372582, 0000000001010100001000
BGN, ENST00000331595, 0010000000001010010000
TRABD2A, ENST00000409520, 0000001010010000001000
SMYD1, ENST00000444564, 0011100100000000000000
ITGA6, ENST00000409080, 0000000100010011000000
PARD3B, ENST00000406610, 0000000000010101000100
KCNH8, ENST00000328405, 0000110001000000010000
CPNE4, ENST00000511604, 0001000000001000000101
MAP6D1, ENST00000318631, 0000100000110000100000
FGFR3, ENST00000340107, 0000000100000001001100
RGS12, ENST00000336727, 0000000001001011000000
LGI2, ENST00000382114, 0010000010000110000000
SCD5, ENST00000319540, 0000100000010001001000
LEF1, ENST00000438313, 0001101001000000000000
UGT8, ENST00000394511, 0000010000011000000010
TMEM144, ENST00000296529, 1000000001000001001000
MCTP1, ENST00000312216, 0000001100100000000001
FSTL4, ENST00000265342, 0000100100000000100100
GRIA1, ENST00000340592, 0000000001100000001100
DOCK2, ENST00000520908, 0000000000100010010100
KIF13A, ENST00000636847, 0000101100010000000000
HLA-B, ENST00000412585, 0010000011000000010000
ADGRF5, ENST00000265417, 1000000100001000100000
COL21A1, ENST00000535941, 1001000000000001000001
TBX18, ENST00000369663, 0000000001000000100110
NPY, ENST00000242152, 1000000001100000010000
COL1A2, ENST00000297268, 0001000010010000010000
CPED1, ENST00000310396, 0010000000100000100010
TBXAS1, ENST00000448866, 0100000000000000001110
ADAM28, ENST00000265769, 0111000000001000000000
DOCK5, ENST00000276440, 1100001100000000000000
ENPP2, ENST00000522826, 0000000101000110000000
TLE4, ENST00000376552, 1001100000000010000000
ITIH5, ENST00000397146, 0000010010000100000001
ST8SIA6, ENST00000377602, 0000100001000100100000
SVIL, ENST00000375400, 1000000100010000000001
C10orf90, ENST00000284694, 0001001000010000100000
DOCK1, ENST00000280333, 0110000100000000000010
SLCO2B1, ENST00000428359, 0100000010001000001000
FLI1, ENST00000527786, 0110100000000000100000
TESPA1, ENST00000316577, 1100100000000000000001
OTOGL, ENST00000547103, 0000010000001010000100
DCN, ENST00000552962, 0010000100000100000001
CHST11, ENST00000549260, 0000100010010000000001
SELPLG, ENST00000388962, 0000000100100000001010
KLF5, ENST00000539231, 0001000000100000000011
SYNE2, ENST00000344113, 0010010000000001100000
IFI27, ENST00000618863, 0001001100000000001000
CDH11, ENST00000268603, 0001000000100001010000
ZFHX3, ENST00000268489, 0000000110010000100000
VAT1L, ENST00000302536, 0001100000100000000100
EPN2, ENST00000571254, 0010000101000000100000
NPTX1, ENST00000306773, 0000010101000000000100
ZNF536, ENST00000355537, 0110000000000010000100
KIAA1755, ENST00000496900, 0000100000100100001000
PCDH11X, ENST00000504220, 0000100000000001010100
