channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,RS0015,Hal_config_750s8_650s8_560s1_488s8_405s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,647,"[ 4,9,14,19,24,29,34,39]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_405s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,25,488
bit2,RS0083,Hal_config_750s8_650s8_560s1_488s8_405s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,750,"[ 3,8,13,18,23,28,33,38]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_405s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,25,488
bit3,RS0095,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,25,488
bit4,RS0109,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,647,"[4,8,12,16,20,24,28,32]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,25,488
bit5,RS0175,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,647,"[4,8,12,16,20,24,28,32]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,25,488
bit6,RS0237,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,25,488
bit9,RS0307,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,11,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,25,488
bit10,RS0332,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,11,647,"[4,8,12,16,20,24,28,32]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,25,488
bit11,RS0343,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,12,647,"[4,8,12,16,20,24,28,32]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,25,488
bit12,RS0384,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,12,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,25,488
