channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,RS0015,Hal_config_750s6_650s6_560s6_488s6_405s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,750,[1 7 13 19 25 31],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_560s6_488s6_405s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,34,488
bit2,RS0083,Hal_config_750s6_650s6_560s6_488s6_405s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,647,[2 8 14 20 26 32],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_560s6_488s6_405s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,34,488
bit3,RS0095,Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,750,[1 5 9 13 17 21],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,23,488
bit4,RS0109,Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,647,[2 6 10 14 18 22],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,23,488
bit5,RS0175,Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,750,[1 5 9 13 17 21],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,23,488
bit6,RS0237,Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,647,[2 6 10 14 18 22],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,23,488
bit7,RS0247,Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,2,750,[1 5 9 13 17 21],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,23,488
bit8,RS0255,Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,2,647,[2 6 10 14 18 22],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,23,488
bit9,RS0307,Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,3,750,[1 5 9 13 17 21],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,23,488
bit10,RS0332,Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,3,647,[2 6 10 14 18 22],[0.5 2.0 3.5 5.0 6.5 8.0],Hal_config_750s6_650s6_488s6,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,23,488
