channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,RS0015,Epi-750-647-561-488-405-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,647,[1 6 11 16 21 26 31 36 41 46 51 56 61],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-488-405-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,57,561
bit2,RS0083,Epi-750-647-561-488-405-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,750,[0 5 10 15 20 25 30 35 40 45 50 55 60],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-488-405-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,57,561
bit3,RS0095,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,2,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,35,561
bit4,RS0109,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,2,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,35,561
bit5,RS0175,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,3,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,35,561
bit6,RS0237,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,3,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,35,561
bit7,RS0247,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,4,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,35,561
bit8,RS0255,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,4,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,35,561
bit9,RS0307,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,5,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,35,561
bit10,RS0332,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,5,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,35,561
bit11,RS0343,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,6,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,35,561
bit12,RS0384,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,6,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,35,561
bit13,RS0406,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,7,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,35,561
bit14,RS0451,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,7,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,35,561
bit15,RS0468,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,8,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,35,561
bit16,RS0548,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,8,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,35,561
bit17,RS0578,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),17,9,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,35,561
bit18,RS0584,Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),18,9,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-561-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,35,561
