channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,RS0015,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,1,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,20,488
bit2,RS0083,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,1,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,20,488
bit3,RS0095,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,2,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,20,488
bit4,RS0109,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,2,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,20,488
bit5,RS0175,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,3,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,20,488
bit6,RS0237,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,3,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,20,488
bit7,RS0247,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,4,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,20,488
bit8,RS0255,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,4,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,20,488
bit9,RS0307,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,5,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,20,488
bit10,RS0332,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,5,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,20,488
bit11,RS0343,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,6,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,20,488
bit12,RS0384,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,6,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,20,488
bit13,RS0406,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,7,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,20,488
bit14,RS0451,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,7,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,20,488
bit15,RS0468,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,8,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,20,488
bit16,RS0548,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,8,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,20,488
bit17,RS0578,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),17,9,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,20,488
bit18,RS0584,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),18,9,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,20,488
bit19,RS0639,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),19,10,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,20,488
bit20,RS0707,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),20,10,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,20,488
bit21,RS0708,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),21,11,750,[19 34 49 64 79 94 109 124 139 154],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,20,488
bit22,RS0730,Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),22,11,647,[18 33 48 63 78 93 108 123 138 153],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,20,488
polyT,,Epi-750-647-488-405-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),23,0,488,[22 42 62 82 102 122 142 162 182 202],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-405-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,26,488
DAPI,,Epi-750-647-488-405-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),24,0,405,[23 43 63 83 103 123 143 163 183 203],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],Epi-750-647-488-405-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,26,488
